owner,name,created,pr_count
RolandNaijuka,step_internship_portfolio,2020-05-26T15:08:07Z,17
ataddesse,my-portfolio,2020-05-26T06:43:35Z,14
hadleyshapland,step-portfolio,2020-05-19T22:42:35Z,19
phuongnguyen00,step,2020-05-26T22:36:58Z,4
hieudan225,step,2020-05-25T16:51:10Z,4
FluffyPenguin,step-training,2020-05-26T20:34:32Z,8
essencec,my-portfolio,2020-05-29T14:29:32Z,9
wdtseng,GoogleStep2020,2020-06-09T22:17:12Z,0
yjzhang111,step,2020-05-27T20:28:32Z,3
danyag0820,step,2020-05-26T17:14:53Z,8
HelenaSG,step,2020-05-26T17:14:02Z,14
seunomonije,google-step-2020,2020-05-21T21:15:20Z,9
ChenyuHeidiZhang,step,2020-05-20T20:17:32Z,8
steven-solar,step,2020-05-20T13:55:31Z,15
shivanighanta,my-portfolio,2020-05-26T18:00:20Z,5
ChisomOkwor,my-portfolio,2020-05-27T17:14:37Z,4
Andrewmob2703,AmgenieStep,2020-05-28T17:13:27Z,11
meltsufin,my-portfolio,2020-05-28T03:12:15Z,10
googleinterns,step,2020-05-08T23:43:17Z,30
ntarn,my-portfolio,2020-05-21T21:27:29Z,6
carmenBen,STEP,2020-05-26T22:18:50Z,6
andres-holguin,step,2020-05-26T15:44:34Z,11
jsheng112,step,2020-05-26T13:25:24Z,14
tmicomyiza,step_portfolio,2020-05-26T17:30:41Z,18
rivera-fernando,step,2020-05-19T16:58:18Z,16
mayahp,step-portfolio,2020-05-27T16:20:49Z,12
SydneyCaulfeild,step-portfolio,2020-05-29T13:32:29Z,5
nabil-dbz,my-portfolio,2020-05-25T22:16:29Z,9
Maryam676,step,2020-05-25T18:05:26Z,15
anfee1,step2,2020-05-26T14:32:52Z,6
ZoeMitchelll,step2020,2020-05-28T15:26:07Z,5
Sydney-18,portfolio-repo,2020-05-28T07:36:15Z,7
Cindyzhang977,step,2020-05-26T22:37:41Z,19
sasymer,step,2020-05-25T20:15:10Z,5
gusteran,step,2020-05-26T14:39:45Z,4
michaeleggboy,personal_repository,2020-05-26T17:31:23Z,9
clairezc27,step,2020-05-26T14:12:02Z,7
jackdavidweber,step-portfolio,2020-05-21T14:03:45Z,22
kpatterson01,STEP-portfolio-2,2020-06-03T15:11:25Z,11
haoyxc,step,2020-05-20T14:47:20Z,24
kpancha,step,2020-05-20T18:18:16Z,40
kashiish,step,2020-05-21T23:05:46Z,28
christinachance,step,2020-05-21T15:53:31Z,17
proyectoramirez,step,2020-05-26T17:35:55Z,10
Jortiz23,step-portfolio,2020-06-03T17:09:31Z,3
savsa,step,2020-05-26T23:39:29Z,5
AniMachaidze,step,2020-05-26T17:07:17Z,16
nlumiere,step_portfolio,2020-05-26T18:01:27Z,6
scarletnguyen13,Google-STEP-training,2020-05-25T22:02:44Z,15
aosmann7,my-portfolio,2020-05-26T14:09:56Z,9
tttzach,step,2020-05-26T20:01:47Z,11
jeward414,my-portfolio,2020-05-27T12:38:26Z,7
nitinramadoss,StepStarterProject,2020-05-26T21:41:44Z,9
winniewan,STEP,2020-05-21T13:37:15Z,27
SabrinaSnider,my-portfolio,2020-05-26T16:57:50Z,12
sbbenfield,STEPInternship,2020-05-28T14:35:42Z,10
Ionis-Kutrolli,portfolio,2020-05-27T15:20:49Z,10
miahsanchez,step-portfolio,2020-05-27T14:44:45Z,41
zyelcrier,step,2020-05-19T21:48:22Z,18
Taniecer,My-portfolio,2020-05-27T19:11:55Z,8
evd123,step,2020-05-26T13:01:39Z,3
kiprot,step,2020-05-26T14:22:25Z,12
mahimashanware,step,2020-05-18T20:49:15Z,9
Thunae,STEP,2020-05-18T15:29:26Z,4
mrjwashiv,my_portfolio,2020-05-29T21:16:22Z,3
r0ddy,step,2020-05-27T15:57:04Z,12
elijahhiggso,STEP,2020-05-26T14:24:20Z,7
sroblesher,step,2020-06-02T06:48:41Z,8
AnudeepYakkala,step,2020-05-19T20:35:49Z,26
eldrickb,step,2020-06-01T20:47:22Z,6
PhillipsOlagunju,step,2020-05-26T16:23:15Z,6
